id x y phenotype1 envi phenotype2 
289 0.116625 0.511895 0.592632 -0.276152 0.592632
290 0.963085 0.460242 -0.960396 -1.16323 -0.960396
291 0.127885 0.0135686 0.498087 -0.69565 0.498087
292 0.961103 0.881139 -0.218145 -0.287767 -0.218145
293 0.862614 0.535078 0.532926 -0.605038 0.532926
294 0.110831 0.52387 1.03846 -0.292951 1.03846
295 0.429933 0.20302 0.916087 0.972639 0.916087
296 0.969044 0.458089 -0.78271 -1.18564 -0.78271
297 0.412477 0.196221 1.31367 0.912009 1.31367
298 0.326495 0.16958 -0.0748986 0.615574 -0.0748986
299 0.629861 0.585541 -0.266161 0.56347 -0.266161
300 0.981167 0.155485 0.648946 -0.356925 0.648946
301 0.743648 0.9093 1.33388 0.0239301 1.33388
302 0.0685423 0.962064 -0.26007 -0.178634 -0.26007
303 0.11391 0.516336 0.313965 -0.282645 0.313965
304 0.0252189 0.668916 -0.207257 -0.263863 -0.207257
305 0.874252 0.544489 1.15344 -0.662625 1.15344
306 0.209418 0.266403 0.286497 0.425513 0.286497
307 0.441714 0.386324 -0.421292 0.798068 -0.421292
308 0.318698 0.168148 0.599689 0.589884 0.599689
309 0.9662 0.467202 -0.785118 -1.22576 -0.785118
310 0.97123 0.46275 -0.931601 -1.22871 -0.931601
311 0.031817 0.303071 0.262626 -0.00249479 0.262626
312 0.961893 0.461447 -0.86104 -1.1634 -0.86104
313 0.241113 0.591464 -0.496039 -0.560385 -0.496039
314 0.438494 0.203489 -0.173511 0.997644 -0.173511
315 0.758396 0.77633 -0.137361 0.165131 -0.137361
316 0.969437 0.460155 -1.14323 -1.20116 -1.14323
317 0.0313161 0.314662 0.230316 -0.0196854 0.230316
318 0.0173561 0.304526 0.468683 -0.0307806 0.468683
319 0.440346 0.493236 -0.0922012 0.572428 -0.0922012
320 0.345822 0.892978 0.0636382 0.526147 0.0636382
321 0.265184 0.582474 -0.035026 -0.44597 -0.035026
322 0.978117 0.389129 0.917514 -0.78219 0.917514
323 0.904815 0.291872 0.180274 -0.0722695 0.180274
324 0.18511 0.973601 -0.0119851 0.526722 -0.0119851
325 0.0646106 0.148971 1.23058 -0.380015 1.23058
326 0.129632 0.444398 0.0013902 -0.133468 0.0013902
327 0.115434 0.73209 -0.063811 -0.597938 -0.063811
328 0.963914 0.459875 -1.17256 -1.16598 -1.17256
329 0.0954507 0.735913 0.19412 -0.526741 0.19412
330 0.0272589 0.317516 0.86707 -0.0306321 0.86707
331 0.75321 0.794598 -0.379398 0.155295 -0.379398
332 0.535374 0.868635 1.07272 0.997928 1.07272
333 0.767005 0.414096 0.792825 0.0313133 0.792825
334 0.98238 0.983042 0.380879 -0.11716 0.380879
335 0.268302 0.586436 0.543909 -0.440367 0.543909
336 0.571542 0.831491 1.33239 0.895447 1.33239
337 0.368025 0.0112219 -0.105775 0.45635 -0.105775
338 0.870144 0.0608254 0.519613 -0.556295 0.519613
339 0.0276878 0.67913 0.00704519 -0.269853 0.00704519
340 0.345429 0.889146 0.205592 0.504786 0.205592
341 0.44389 0.50605 0.799097 0.577856 0.799097
342 0.18264 0.98664 0.182485 0.594339 0.182485
343 0.573355 0.831248 0.42466 0.887837 0.42466
344 0.119923 0.516512 1.05454 -0.283111 1.05454
345 0.435069 0.319652 0.750486 0.914797 0.750486
346 0.988525 0.985323 0.0686783 -0.112533 0.0686783
347 0.164367 0.270807 1.05931 0.319169 1.05931
348 0.270326 0.135904 -0.671215 0.380299 -0.671215
349 0.0219457 0.660327 1.36721 -0.256474 1.36721
350 0.28325 0.386529 0.827541 0.248053 0.827541
351 0.975424 0.872949 -0.333089 -0.325325 -0.333089
352 0.923507 0.27606 1.0153 -0.0102502 1.0153
353 0.517852 0.865099 0.73688 1.08026 0.73688
